First_name,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Total_Fights,Win_Percentage
Danny,Abbadi,The Assassin,180.34,155,NA,right-handed,4,6,0,10,0.4
Shamil,Abdurakhimov,Abrek,190.5,235,76,right-handed,19,4,0,23,0.826086957
Hiroyuki,Abe,Abe Ani,167.64,145,NA,right-handed,8,14,3,25,0.38
Daichi,Abe, ,180.34,170,71,right-handed,6,2,0,8,0.75
Ricardo,Abreu,Demente,180.34,185,73,right-handed,5,3,0,8,0.625
Daniel,Acacio, ,172.72,180,NA,right-handed,26,12,0,38,0.684210526
Juan,Adams,The Kraken,195.58,265,81,right-handed,4,0,0,4,1
Anthony,Adams,Sugafoot,182.88,185,77,right-handed,7,1,0,8,0.875
Sam,Adkins,The Experience,190.5,225,NA,right-handed,7,20,2,29,0.275862069
Nick,Agallar, ,172.72,155,NA,right-handed,24,6,0,30,0.8
Marcelo,Aguiar, ,177.8,170,NA,right-handed,2,3,1,6,0.416666667
Jessica,Aguilar,Jag,160.02,115,63,right-handed,20,7,0,27,0.740740741
Kevin,Aguilar,The Angel of Death,170.18,145,72,right-handed,16,1,0,17,0.941176471
Mike,Aina,Iron,175.26,155,NA,right-handed,12,6,1,19,0.657894737
Omari,Akhmedov,Wolverine,182.88,185,73,right-handed,17,4,1,22,0.795454545
Yoshihiro,Akiyama, ,177.8,170,73,right-handed,14,6,0,20,0.7
Razak,Al-Hassan, ,187.96,205,NA,right-handed,11,5,0,16,0.6875
Mostapha,Al-Turk, ,187.96,245,77,right-handed,6,6,0,12,0.5
Junior,Albini,Baby,190.5,264,74,right-handed,14,4,0,18,0.777777778
Wes,Albritton, ,177.8,188,NA,right-handed,0,1,0,1,0
Alexandra,Albu,Stitch,157.48,115,63,right-handed,7,0,0,7,1
Israel,Albuquerque, ,NA,185,NA,right-handed,0,3,0,3,0
Marina,Rodriguez, ,170.18,115,67,right-handed,10,0,1,11,0.954545455
Ildemar,Alcantara,Marajo,187.96,185,78,right-handed,21,8,0,29,0.724137931
Gilbert,Aldana,El Peligro,185.42,250,NA,right-handed,6,2,0,8,0.75
Irene,Aldana, ,175.26,135,68,right-handed,9,4,0,13,0.692307692
Hector,Aldana,El Charro,180.34,170,72,right-handed,4,3,0,7,0.571428571
Jose,Aldo,Junior,170.18,145,70,right-handed,27,4,0,31,0.870967742
Jim,Alers,The Beast,175.26,145,71,right-handed,13,3,0,16,0.8125
John,Alessio,The Natural,177.8,155,72,right-handed,34,16,0,50,0.68
Houston,Alexander,The Assassin,182.88,205,72,right-handed,13,8,1,22,0.613636364
Kenneth,Alexander,The Machine,175.26,155,NA,right-handed,5,5,0,10,0.5
Olaf,Alfonso, ,187.96,170,NA,right-handed,8,11,0,19,0.421052632
Royce,Alger, ,177.8,199,NA,right-handed,3,2,0,5,0.6
Sultan,Aliev, ,180.34,170,74,right-handed,14,3,0,17,0.823529412
John,Allan, ,185.42,205,NA,right-handed,12,4,0,16,0.75
Benny,Alloway,Blanco,180.34,170,75,right-handed,13,6,0,19,0.684210526
Ricardo,Almeida,Big Dog,182.88,170,74,right-handed,13,5,0,18,0.722222222
Estefani,Almeida, ,162.56,125,NA,right-handed,7,2,0,9,0.777777778
Mike,Altman, ,177.8,185,NA,right-handed,1,4,0,5,0.2
Sean,Alvarez, ,182.88,235,NA,right-handed,4,3,0,7,0.571428571
Eddie,Alvarez,The Underground King,175.26,155,69,right-handed,29,6,0,35,0.828571429
Jaime,Alvarez, ,172.72,125,69,right-handed,6,1,0,7,0.857142857
Thiago,Alves,Pitbull,175.26,170,70,right-handed,27,13,0,40,0.675
Warlley,Alves, ,180.34,170,72,right-handed,13,3,0,16,0.8125
Vinicius,Castro,Mamute,193.04,205,NA,right-handed,8,1,0,9,0.888888889
Andre,Amado,Dida,182.88,154,NA,right-handed,6,4,1,11,0.590909091
Adlan,Amagov,Borz,187.96,170,76,right-handed,13,2,1,16,0.84375
JJ,Ambrose, ,177.8,170,NA,right-handed,17,3,0,20,0.85
Bertrand,Amoussou, ,172.72,190,NA,right-handed,1,1,0,2,0.5
Karl,Amoussou,The Psycho,180.34,185,NA,right-handed,12,4,2,18,0.722222222
Lowell,Anderson, ,167.64,160,NA,right-handed,0,1,0,1,0
Corey,Anderson,Overtime,190.5,205,79,right-handed,12,4,0,16,0.75
Megan,Anderson, ,182.88,145,73,right-handed,8,3,0,11,0.727272727
Alex,Andrade,El Toro,180.34,200,NA,right-handed,10,5,0,15,0.666666667
Jessica,Andrade,Bate Estaca,154.94,115,62,right-handed,19,6,0,25,0.76
Viscardi,Andrade, ,180.34,170,75,right-handed,19,7,0,26,0.730769231
Jermaine,Andre, ,170.18,200,NA,right-handed,14,4,0,18,0.777777778
Reese,Andy,Riptide,182.88,205,NA,right-handed,7,3,0,10,0.7
Yoji,Anjo,Mr. 200%,180.34,205,NA,right-handed,0,5,1,6,0.083333333
Magomed,Ankalaev, ,190.5,205,75,right-handed,10,1,0,11,0.909090909
Nina,Ansaroff,The Strina,165.1,115,64,right-handed,10,5,0,15,0.666666667
Gadzhimurad,Antigulov, ,180.34,205,70,right-handed,20,5,0,25,0.8
Adam,Antolin,Captain Chaos,165.1,125,63,right-handed,12,3,0,15,0.8
Angelo,Antonio, ,NA,205,NA,right-handed,1,3,0,4,0.25
Zu,Anyanwu,8th Wonder,185.42,251,77,right-handed,14,5,0,19,0.736842105
Shinsho,Anzai,Animal,170.18,170,70,right-handed,10,3,0,13,0.769230769
Erik,Apple, ,182.88,170,NA,right-handed,10,3,0,13,0.769230769
Romie,Aram, ,177.8,170,NA,right-handed,7,1,0,8,0.875
Felipe,Arantes,Sertanejo,172.72,135,73,right-handed,18,10,1,29,0.637931034
Igor,Araujo, ,185.42,170,77,right-handed,25,8,0,33,0.757575758
Andrei,Arlovski,The Pitbull,190.5,240,77,right-handed,27,17,0,44,0.613636364
Austin,Arnett,Golden Boy,182.88,145,72,right-handed,16,5,0,21,0.761904762
Ricardo,Arona,The Brazilian Tiger,180.34,205,NA,right-handed,14,5,0,19,0.736842105
Chalid,Arrab,Die Faust,180.34,205,NA,right-handed,7,3,0,10,0.7
Matt,Arroyo,No Regard,177.8,170,72,right-handed,3,3,0,6,0.5
Antonio,Arroyo, ,187.96,185,NA,right-handed,8,2,0,10,0.8
Cyril,Asker,Silverback,182.88,247,74,right-handed,9,4,0,13,0.692307692
Bruno,Assis,Brunao,187.96,185,NA,right-handed,8,3,0,11,0.727272727
Junior,Assuncao, ,175.26,145,72,right-handed,13,4,0,17,0.764705882
Raphael,Assuncao, ,165.1,135,66,right-handed,27,5,0,32,0.84375
Bazigit,Atajev,Volk,185.42,230,NA,right-handed,17,1,0,18,0.944444444
Rich,Attonito,The Raging Bull,177.8,170,72,right-handed,10,5,0,15,0.666666667
Pat,Audinwood,Awesomely Awesome,182.88,155,NA,right-handed,9,2,1,12,0.791666667
Marcus,Aurelio,Maximus,177.8,155,74,right-handed,21,10,0,31,0.677419355
David,Avellan, ,175.26,185,NA,right-handed,2,1,0,3,0.666666667
Blas,Avena,The Disciple,182.88,170,74,right-handed,7,6,0,13,0.538461538
Chris,Avila, ,177.8,145,72,right-handed,5,4,0,9,0.555555556
Jessin,Ayari,Abacus,182.88,155,73,right-handed,16,5,0,21,0.761904762
Abu,Azaitar,Gladiator,175.26,185,76,right-handed,14,1,1,16,0.90625
Luiz,Azeredo, ,175.26,154,NA,right-handed,15,10,0,25,0.6
Luciano,Azevedo, ,190.5,161,NA,right-handed,16,9,1,26,0.634615385
Luke,Zachrich, ,187.96,185,74,right-handed,14,4,0,18,0.777777778
Anton,Zafir,The Professor,180.34,170,72,right-handed,7,3,0,10,0.7
Aiemann,Zahabi, ,172.72,135,68,right-handed,7,1,0,8,0.875
Elizeu,Zaleski dos Santos,Capoeira,180.34,170,73,right-handed,20,5,0,25,0.8
Marius,Zaromskis,The Whitemare,175.26,170,NA,right-handed,15,7,0,22,0.681818182
David,Zawada,Sagat,182.88,170,75,right-handed,16,5,0,21,0.761904762
Joao,Zeferino,The Brazilian Samurai,180.34,170,73,right-handed,13,6,0,19,0.684210526
Craig,Zellner,Big Z,187.96,205,NA,right-handed,4,3,0,7,0.571428571
Roman,Zentsov,The Russian Hammer,185.42,230,NA,right-handed,18,13,0,31,0.580645161
Carlos,Zevallos, ,182.88,205,NA,right-handed,1,1,0,2,0.5
Tiequan,Zhang,The Wolf,172.72,155,70,right-handed,18,4,0,22,0.818181818
Yao,Zhikui,The Conqueror,165.1,125,64,right-handed,2,5,0,7,0.285714286
James,Zikic,The Messenger,187.96,205,NA,right-handed,20,8,2,30,0.7
Errol,Zimmerman,The Bonecrusher,190.5,185,NA,right-handed,0,1,0,1,0
Igor,Zinoviev,Houdini,185.42,199,NA,right-handed,4,1,2,7,0.714285714
Allan,Zuniga,Tigre,170.18,155,70,right-handed,13,2,0,15,0.866666667
Song,Yadong,The Terminator,172.72,135,67,right-handed,14,4,0,18,0.777777778
Jamie,Yager,The Chosyn 1,185.42,185,NA,right-handed,5,2,0,7,0.714285714
Eddie,Yagin,The Filipino Phenom,170.18,145,NA,right-handed,16,5,1,22,0.75
Rani,Yahya, ,167.64,135,67,right-handed,26,9,0,35,0.742857143
Kenichi,Yamamoto, ,182.88,170,NA,right-handed,5,10,2,17,0.352941176
Atsushi,Yamamoto, ,167.64,139,NA,right-handed,15,7,3,25,0.66
Wu,Yanan,Mulan,172.72,125,66,right-handed,10,2,0,12,0.833333333
Adam,Yandiev,Boroda,175.26,185,74,right-handed,9,1,0,10,0.9
Jianping,Yang,Tiger,170.18,145,65,right-handed,7,4,1,12,0.625
Masutatsu,Yano, ,175.26,198,NA,right-handed,2,4,1,7,0.357142857
Hu,Yaozong,Totoro,190.5,205,72,right-handed,3,2,0,5,0.6
Cale,Yarbrough, ,185.42,185,NA,right-handed,8,3,0,11,0.727272727
Tadao,Yasuda, ,193.04,310,NA,right-handed,2,4,0,6,0.333333333
Yoshiaki,Yatsu, ,185.42,165,NA,right-handed,0,2,0,2,0
Rubens,Xavier,Macula,190.5,220,NA,right-handed,5,3,0,8,0.625
Yan,Xiaonan,Nine,165.1,115,63,right-handed,10,1,0,11,0.909090909
Chris,Wade, ,177.8,155,70,right-handed,12,3,0,15,0.8
Neil,Wain,Old School,177.8,242,NA,right-handed,10,3,0,13,0.769230769
TJ,Waldburger,The Modern Day Warrior,180.34,170,75,right-handed,16,9,0,25,0.64
Chase,Waldon, ,185.42,185,75,right-handed,11,2,0,13,0.846153846
Herschel,Walker, ,185.42,215,NA,right-handed,2,0,0,2,1
Johnny,Walker, ,195.58,205,82,right-handed,15,3,0,18,0.833333333
Ben,Wall,Manimal,177.8,155,73,right-handed,7,2,1,10,0.75
Crafton,Wallace,Blaze,182.88,185,NA,right-handed,18,6,1,25,0.74
Randall,Wallace,Braveheart,180.34,185,73,right-handed,15,6,0,21,0.714285714
Jimmy,Wallhead,Judo,177.8,170,73,right-handed,29,11,0,40,0.725
Cory,Walmsley,Hardcore,182.88,205,NA,right-handed,8,2,0,10,0.8
Erick,Wanderlei, ,185.42,205,NA,right-handed,3,3,0,6,0.5
Dimitiri,Wanderley, ,NA,205,NA,right-handed,5,2,0,7,0.714285714
Andy,Wang, ,167.64,155,NA,right-handed,7,8,1,16,0.46875
An Ying,Wang,Smiley,182.88,170,NA,right-handed,2,2,0,4,0.5
Curt,Warburton, ,182.88,155,73,right-handed,7,3,0,10,0.7
Charlie,Ward,Relentless,180.34,170,73,right-handed,3,3,0,6,0.5
Terrion,Ware,Flash,172.72,135,71,right-handed,17,9,0,26,0.653846154
Joe,Warren, ,167.64,135,NA,right-handed,7,3,0,10,0.7
Brian,Warren,Mr. Unbreakable,182.88,185,NA,right-handed,15,15,1,31,0.5
Kengo,Watanabe, ,193.04,220,NA,right-handed,8,13,3,24,0.395833333
Ron,Waterman,H20,187.96,280,NA,right-handed,16,6,2,24,0.708333333
Dominic,Waters,Sho Nuff,185.42,170,79,right-handed,9,5,0,14,0.642857143
Michelle,Waterson,The Karate Hottie,160.02,115,62,right-handed,16,6,0,22,0.727272727
Walel,Watson,The Gazelle,180.34,135,69,right-handed,9,5,0,14,0.642857143
Tom,Watson,Kong,185.42,185,73,right-handed,17,9,0,26,0.653846154
Jonavin,Webb,The Spyder,177.8,170,71,right-handed,8,2,0,10,0.8
Royston,Wee, ,170.18,135,67,right-handed,4,1,0,5,0.8
Chris,Weidman,The All-American,187.96,185,78,right-handed,14,4,0,18,0.777777778
Christian,Wellisch,The Hungarian Nightmare,187.96,234,77,right-handed,8,5,0,13,0.615384615
Fabricio,Werdum,Vai Cavalo,193.04,231,77,right-handed,23,8,1,32,0.734375
Mike,Wessel,Juggernaut,182.88,260,NA,right-handed,10,4,0,14,0.714285714
Coty,Wheeler,Ox,167.64,135,67,right-handed,14,4,0,18,0.777777778
Craig,White,The Thundercat,187.96,170,76,right-handed,14,9,0,23,0.608695652
Mike,Whitehead, ,185.42,205,NA,right-handed,27,7,0,34,0.794117647
Garett,Whiteley,Goodnight,182.88,155,72,right-handed,8,3,0,11,0.727272727
Robert,Whittaker,The Reaper,182.88,185,73,right-handed,21,4,0,25,0.84
Adam,Wieczorek,Siwy,195.58,250,81,right-handed,10,2,0,12,0.833333333
Justin,Wilcox,Silverback,167.64,155,NA,right-handed,11,6,0,17,0.647058824
Rob,Wilkinson,Razor,190.5,185,80,right-handed,11,2,0,13,0.846153846
James,Wilks,Lightning,185.42,170,75,right-handed,7,4,0,11,0.636363636
Tedd,Williams, ,185.42,275,NA,right-handed,7,1,0,8,0.875
Pete,Williams,El Duro,190.5,235,NA,right-handed,12,6,0,18,0.666666667
Rubin,Williams,Mr. Hollywood,185.42,185,NA,right-handed,0,1,0,1,0
Carter,Williams,The Beast,185.42,265,NA,right-handed,4,4,0,8,0.5
Patrick,Williams,The Animal,172.72,135,73,right-handed,8,6,0,14,0.571428571
Tim,Williams,The South Jersey Strangler,187.96,185,76,right-handed,15,5,0,20,0.75
Chris,Wilson,The Professor,185.42,170,75,right-handed,16,8,0,24,0.666666667
Matt,Wiman, ,177.8,155,68,right-handed,16,7,0,23,0.695652174
Eddie,Wineland, ,170.18,135,69,right-handed,23,13,1,37,0.635135135
Andre,Winner, ,180.34,155,73,right-handed,13,6,1,20,0.675
Keith,Wisniewski,The Polish Connection,182.88,170,75,right-handed,28,13,1,42,0.678571429
Travis,Wiuff,The Diesel,190.5,205,NA,right-handed,64,14,0,78,0.820512821
Brandon,Wolff, ,175.26,170,NA,right-handed,7,5,0,12,0.583333333
Nathaniel,Wood,The Prospect,167.64,135,69,right-handed,14,3,0,17,0.823529412
Tyron,Woodley,The Chosen One,175.26,170,74,right-handed,19,3,1,23,0.847826087
Cal,Worsham, ,180.34,230,NA,right-handed,11,10,0,21,0.523809524
Eric,Wray, ,182.88,170,NA,right-handed,5,1,0,6,0.833333333
Justin,Wren,The Viking,187.96,265,NA,right-handed,11,2,0,13,0.846153846
Jordan,Wright,The Beverly Hills Ninja,187.96,185,77,right-handed,9,0,0,9,1
Richie,Vaculik,Vas,167.64,125,69,right-handed,10,5,0,15,0.666666667
Egidijus,Valavicius, ,182.88,200,NA,right-handed,20,9,0,29,0.689655172
Charlie,Valencia, ,160.02,135,64,right-handed,12,7,0,19,0.631578947
Victor,Valimaki,The Matrix,182.88,205,NA,right-handed,16,8,0,24,0.666666667
Isaac,Vallie-Flagg, ,172.72,155,68,right-handed,14,6,1,21,0.69047619
Ron,van Clief,The Black Dragon,177.8,190,NA,right-handed,0,1,0,1,0
Chad,Vance, ,182.88,185,NA,right-handed,6,5,0,11,0.545454545
Austin,Vanderford,AK-47,180.34,170,74,right-handed,4,0,0,4,1
Lando,Vannata,Groovy,175.26,155,71,right-handed,9,3,2,14,0.714285714
Paige,VanZant,12 Gauge,162.56,115,65,right-handed,7,4,0,11,0.636363636
Paul,Varelans,The Polar Bear,203.2,300,NA,right-handed,9,9,0,18,0.5
Jamie,Varner, ,172.72,155,72,right-handed,21,11,1,33,0.651515152
Guilherme,Vasconcelos,Bomba,182.88,185,74,right-handed,3,2,0,5,0.6
Manny,Vazquez, ,177.8,125,72,right-handed,11,2,0,13,0.846153846
Matt,Veach, ,180.34,155,NA,right-handed,15,4,0,19,0.789473684
Joe,Vedepo,The Doctor,182.88,185,NA,right-handed,11,5,0,16,0.6875
