date,build_number,pre_build_time,build_time,deploy_time,total_time
16/11/2020,1,52,314,24,390
16/11/2020,2,57,323,28,408
16/11/2020,3,200,324,27,551
16/11/2020,4,356,302,25,683
16/11/2020,5,58,334,27,419
16/11/2020,6,65,323,25,413
16/11/2020,7,64,332,25,421
16/11/2020,8,241,313,25,579
16/11/2020,9,82,327,32,441
16/11/2020,10,58,318,42,418
16/11/2020,11,57,324,30,411
16/11/2020,12,60,334,175,569
16/11/2020,13,53,335,30,418
16/11/2020,14,193,335,32,560
16/11/2020,15,54,345,33,432
16/11/2020,16,105,338,30,473
16/11/2020,17,58,336,30,424
16/11/2020,18,93,323,34,450
16/11/2020,19,67,338,29,434
16/11/2020,20,57,341,35,433
16/11/2020,21,55,337,35,427
17/11/2020,22,63,306,25,394
17/11/2020,23,67,329,29,425
17/11/2020,24,90,311,27,428
17/11/2020,25,56,316,24,396
17/11/2020,26,53,329,24,406
17/11/2020,27,66,337,27,430
18/11/2020,28,69,298,29,396
18/11/2020,29,54,324,28,406
18/11/2020,30,54,319,43,416
18/11/2020,31,55,297,33,385
18/11/2020,32,77,315,29,421
18/11/2020,33,57,323,26,406
18/11/2020,34,52,337,32,421
18/11/2020,35,57,298,28,383
18/11/2020,36,59,345,38,442
18/11/2020,37,58,315,25,398
18/11/2020,38,62,293,31,386
18/11/2020,39,55,323,28,406
19/11/2020,40,369,307,36,712
19/11/2020,41,61,328,31,420
19/11/2020,42,65,292,35,392
19/11/2020,43,94,350,32,476
19/11/2020,44,378,288,26,692
19/11/2020,45,497,298,26,821
19/11/2020,46,56,292,29,377
19/11/2020,47,56,305,28,389
19/11/2020,48,62,309,30,401
19/11/2020,49,56,293,30,379
20/11/2020,50,74,270,30,374
20/11/2020,51,59,272,33,364
20/11/2020,52,57,313,30,400
20/11/2020,53,56,299,30,385
20/11/2020,54,322,355,36,713
20/11/2020,55,193,328,38,559
20/11/2020,56,55,279,28,362
20/11/2020,57,57,320,27,404
20/11/2020,58,53,276,31,360
20/11/2020,59,58,287,32,377
20/11/2020,60,67,299,31,397
